# Transmission through ionization/dissociation front produced by UV and 
# X-rays from a GRB.  Spectrum calculated by B.T. Draine
# References:
# Draine, B.T. 2000: Gamma Ray Bursts in Molecular Clouds: H2 Absorption
#     and Fluorescence, ApJ 532, 273
# Draine, B.T., & Hao, L. 2002, Gamma Ray Burst in a Molecular Cloud:
#     Destruction of Dust and H2, and Emergent Spectrum, ApJ 569, 780
# 
#  1.000E+03 = n_H (cm-3)
#     -0.500 = beta ( L_nu propto nu^{beta} )
#  2.500E-01 = L_0/(1e49 erg s-1)
#  1.000E+01 = t_0 (s)
# N(H), N(H2+), and N(H2_vJ) from h2abs_nvj.dat                                   
#       2130 H2 absorption lines from 299 levels of H2
#     222969 = NWAV = number of wavelengths
#       2771 = 2*KKMAX+1 points in smoothing kernel
#      260.0 = lambda/FWHM(lambda) in final spectrum
#   2130 lines with W_lambda/lambda >  5.000E-05
#   0.5574 = sum(W_lambda/lambda) for lines in list (including H Lyman series)
#   0.7320                        for all 28779 lines
#   lambda   W_lambda/ W_lambda
#    (A)       lambda    (A)      tau_0      transition
#  --------- --------- ------- --------- --------------------
  1370.105 0.0000594  0.0813 3.283E+02 H2 Lyman  8- 8 R( 0)
  1368.915 0.0000869  0.1190 1.021E+03 H2 Lyman  1- 5 R( 1)
  1368.610 0.0000724  0.0991 5.579E+02 H2 Lyman  1- 5 R( 0)
  1368.003 0.0000526  0.0720 1.593E+02 H2 Lyman  6- 7 P( 2)
  1367.311 0.0000511  0.0699 1.346E+02 H2 Lyman  6- 7 R( 3)
  1365.663 0.0000752  0.1026 8.210E+02 H2 Lyman  6- 7 P( 1)
  1365.210 0.0000560  0.0764 2.265E+02 H2 Lyman  6- 7 R( 2)
  1363.984 0.0000920  0.1255 1.591E+03 H2 Lyman  6- 7 R( 1)
  1363.645 0.0000696  0.0949 6.175E+02 H2 Lyman  6- 7 R( 0)
  1363.239 0.0000567  0.0773 2.254E+02 H2 Lyman  4- 6 P( 3)
  1359.831 0.0000625  0.0850 3.623E+02 H2 Lyman  4- 6 P( 2)
  1359.085 0.0000593  0.0806 2.852E+02 H2 Lyman  4- 6 R( 3)
  1357.450 0.0000505  0.0686 1.403E+02 H2 Lyman 11- 9 P( 1)
  1357.345 0.0000942  0.1279 1.545E+03 H2 Lyman  4- 6 P( 1)
  1356.854 0.0000682  0.0925 5.244E+02 H2 Lyman  4- 6 R( 2)
  1356.065 0.0000577  0.0782 3.136E+02 H2 Lyman 11- 9 R( 1)
  1355.556 0.0001208  0.1637 3.026E+03 H2 Lyman  4- 6 R( 1)
  1355.202 0.0000866  0.1174 1.203E+03 H2 Lyman  4- 6 R( 0)
  1353.487 0.0000773  0.1047 7.525E+02 H2 Lyman  2- 5 P( 3)
  1352.449 0.0000566  0.0765 2.648E+02 H2 Lyman  9- 8 P( 1)
  1350.976 0.0000667  0.0901 5.892E+02 H2 Lyman  9- 8 R( 1)
  1350.642 0.0000554  0.0748 2.357E+02 H2 Lyman  9- 8 R( 0)
  1349.915 0.0000817  0.1103 9.028E+02 H2 Lyman  2- 5 P( 2)
  1349.052 0.0000837  0.1129 9.848E+02 H2 Lyman  2- 5 R( 3)
  1347.309 0.0001400  0.1887 3.884E+03 H2 Lyman  2- 5 P( 1)
  1346.735 0.0000927  0.1249 1.339E+03 H2 Lyman  2- 5 R( 2)
  1345.396 0.0001887  0.2539 7.722E+03 H2 Lyman  2- 5 R( 1)
  1345.169 0.0000647  0.0871 4.813E+02 H2 Lyman  7- 7 P( 1)
  1345.042 0.0001379  0.1854 3.752E+03 H2 Lyman  2- 5 R( 0)
  1344.853 0.0000524  0.0705 1.618E+02 H2 Lyman  7- 7 R( 2)
  1343.603 0.0000799  0.1074 1.082E+03 H2 Lyman  7- 7 R( 1)
  1343.233 0.0000621  0.0834 3.999E+02 H2 Lyman  7- 7 R( 0)
  1342.262 0.0001293  0.1736 2.835E+03 H2 Lyman  0- 4 P( 3)
  1338.574 0.0001493  0.1999 3.993E+03 H2 Lyman  0- 4 P( 2)
  1338.375 0.0000528  0.0706 1.590E+02 H2 Lyman  5- 6 P( 2)
  1337.846 0.0000535  0.0716 1.736E+02 H2 Lyman  5- 6 R( 3)
  1337.472 0.0001456  0.1947 3.808E+03 H2 Lyman  0- 4 R( 3)
  1335.945 0.0000727  0.0972 7.103E+02 H2 Lyman  5- 6 P( 1)
  1335.873 0.0002515  0.3360 1.262E+04 H2 Lyman  0- 4 P( 1)
  1335.600 0.0000594  0.0793 3.004E+02 H2 Lyman  5- 6 R( 2)
  1335.136 0.0001783  0.2380 6.026E+03 H2 Lyman  0- 4 R( 2)
  1334.277 0.0000938  0.1251 1.634E+03 H2 Lyman  5- 6 R( 1)
  1333.890 0.0000700  0.0933 6.138E+02 H2 Lyman  5- 6 R( 0)
  1333.803 0.0003503  0.4672 2.535E+04 H2 Lyman  0- 4 R( 1)
  1333.482 0.0002523  0.3365 1.275E+04 H2 Lyman  0- 4 R( 0)
  1332.606 0.0000506  0.0674 1.401E+02 H2 Lyman 10- 8 R( 1)
  1331.110 0.0000555  0.0738 1.969E+02 H2 Lyman  3- 5 P( 3)
  1327.604 0.0000579  0.0768 2.448E+02 H2 Lyman  3- 5 P( 2)
  1326.993 0.0000638  0.0846 3.878E+02 H2 Lyman  3- 5 R( 3)
  1325.058 0.0000851  0.1127 1.101E+03 H2 Lyman  3- 5 P( 1)
  1324.654 0.0000674  0.0893 4.885E+02 H2 Lyman  3- 5 R( 2)
  1324.361 0.0000514  0.0681 1.483E+02 H2 Lyman  8- 7 R( 1)
  1323.284 0.0001156  0.1530 2.621E+03 H2 Lyman  3- 5 R( 1)
  1322.891 0.0000872  0.1153 1.191E+03 H2 Lyman  3- 5 R( 0)
  1319.017 0.0000579  0.0764 2.271E+02 H2 Lyman  1- 4 P( 3)
  1315.390 0.0000628  0.0826 3.286E+02 H2 Lyman  1- 4 P( 2)
  1314.613 0.0000695  0.0914 5.008E+02 H2 Lyman  1- 4 R( 3)
  1312.749 0.0000877  0.1151 1.087E+03 H2 Lyman  1- 4 P( 1)
  1312.232 0.0000768  0.1007 7.144E+02 H2 Lyman  1- 4 R( 2)
  1310.848 0.0001227  0.1609 2.728E+03 H2 Lyman  1- 4 R( 1)
  1310.472 0.0000920  0.1206 1.257E+03 H2 Lyman  1- 4 R( 0)
  1298.839 0.0000528  0.0686 1.951E+02 H2 Lyman 12- 8 R( 1)
  1297.168 0.0000628  0.0815 3.511E+02 H2 Lyman  2- 4 P( 3)
  1296.741 0.0000589  0.0764 3.161E+02 H2 Lyman  7- 6 P( 1)
  1295.285 0.0000645  0.0836 4.906E+02 H2 Lyman  7- 6 R( 1)
  1294.844 0.0000547  0.0708 2.123E+02 H2 Lyman  7- 6 R( 0)
  1293.605 0.0000678  0.0878 4.829E+02 H2 Lyman  2- 4 P( 2)
  1293.094 0.0000604  0.0782 2.970E+02 H2 Lyman  2- 4 R( 3)
  1291.807 0.0000512  0.0661 1.702E+02 H2 Lyman 15- 9 R( 1)
  1291.023 0.0000948  0.1223 1.473E+03 H2 Lyman  2- 4 P( 1)
  1290.685 0.0000693  0.0894 5.271E+02 H2 Lyman  2- 4 R( 2)
